_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included,review_scores,cleaning_fee,host_response_time,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,market,country,longitude,latitude,is_location_exact,availability_30,availability_60,availability_90,availability_365
21853819,Apartment,Entire home/apt,Real Bed,3,1125,flexible,5,2,3,17,1,68,0,1,95,0,within an hour,100.0,Yes,Yes,No,2,2,Montreal,Canada,-73.6295,45.49771,Yes,4,4,4,10
22105082,House,Entire home/apt,Real Bed,14,30,flexible,5,4,5,0,1,95,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,150.65194,-33.71722,No,0,0,0,0
22153101,Apartment,Entire home/apt,Real Bed,3,10,strict_14_with_grace_period,4,2,2,3,1,200,50,4,100,70,within a day,80.0,No,Yes,No,1,1,Sydney,Australia,151.23584,-33.87581,No,22,52,82,323
22182168,Apartment,Private room,Real Bed,3,30,flexible,2,1,1,0,1,70,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.23254,-33.82686,Yes,0,0,0,0
22200645,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1,2,12,1,801,0,1,98,0,within a few hours,80.0,No,Yes,No,1,1,Hong Kong,Hong Kong,114.14993,22.28422,No,0,1,1,1
22277833,Other,Shared room,Real Bed,1,30,flexible,3,1,3,5,2,251,250,1,92,39,Not Specified,Not Specified,No,Yes,No,1,1,Hong Kong,Hong Kong,114.17397,22.32249,Yes,0,0,0,0
22295843,Apartment,Shared room,Real Bed,6,13,flexible,1,1,1,0,2,70,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Sydney,Australia,151.27945,-33.88432,Yes,0,0,0,0
20783233,Apartment,Private room,Real Bed,2,7,moderate,2,1,1,60,1,49,0,1,98,0,within a day,100.0,Yes,Yes,No,1,1,New York,United States,-73.91362,40.6958,Yes,1,1,3,7
20964078,Other,Entire home/apt,Real Bed,365,1125,flexible,4,4,3,0,2,301,0,1,0,0,Not Specified,Not Specified,No,Yes,No,1,1,Istanbul,Turkey,29.08659,40.95819,No,28,58,88,363
20859319,Apartment,Entire home/apt,Real Bed,4,30,strict_14_with_grace_period,6,3,3,0,1,240,0,1,0,80,within a few hours,100.0,No,Yes,Yes,5,5,Montreal,Canada,-73.57623,45.5485,Yes,0,0,0,253
